Tinh chat,Sharpe,Delta_vs_A
A (temporal self-attention),1.1810018008967962,0.0
A + B (cross-asset attention),1.111779659015011,-0.0692221418817851
A + B + C (Sharpe-aware loss),1.3750931522233658,0.19409135132656963
