Date,AAPL,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,NVDA,KO,DIS,WMT,TLT,GLD,SPY
2011-01-03,9.86582088470459,21.2513427734375,14.990947723388672,9.211000442504883,28.740230560302734,40.19492721557617,41.048946380615234,41.385581970214844,0.3621663749217987,20.292219161987305,32.289039611816406,13.286569595336914,60.10401916503906,138.0,96.6790771484375
2011-01-04,9.917306900024414,21.33488655090332,14.935628890991211,9.250499725341797,29.15618896484375,40.53404998779297,41.16303253173828,41.57987976074219,0.36102160811424255,19.8721923828125,33.287925720214844,13.337714195251465,60.174827575683594,134.75,96.62583923339844
2011-01-05,9.998430252075195,21.26652717590332,15.108025550842285,9.371000289916992,29.512714385986328,40.508453369140625,41.06797790527344,41.468849182128906,0.3887220323085785,19.75395965576172,34.11606979370117,13.250041961669922,58.84931945800781,134.3699951171875,97.1280517578125
2011-01-06,9.990350723266602,21.889326095581055,15.217912673950195,9.293000221252441,29.367475509643555,40.44447326660156,40.998260498046875,41.735313415527344,0.44252052903175354,19.610830307006836,33.851417541503906,13.140461921691895,59.106693267822266,133.8300018310547,96.93783569335938
2011-01-07,10.061896324157715,21.722240447998047,15.290837287902832,9.274499893188477,28.8128604888916,40.054176330566406,40.87783432006836,41.96291732788086,0.45488274097442627,19.576610565185547,33.6806526184082,13.169684410095215,59.42194747924805,133.5800018310547,96.74760437011719
2011-01-10,10.251385688781738,21.433622360229492,15.235522270202637,9.234000205993652,28.654403686523438,39.77263259887695,40.78912353515625,41.70756530761719,0.4722813665866852,19.62017250061035,33.72334289550781,13.084450721740723,59.74374771118164,134.1199951171875,96.62583923339844
2011-01-11,10.227137565612793,21.350074768066406,15.280172348022461,9.217000007629395,28.78646469116211,39.84302520751953,40.5863151550293,42.01844024658203,0.464955598115921,19.50504493713379,33.63796615600586,13.220819473266602,59.40917205810547,134.91000366210938,96.96827697753906
2011-01-12,10.310359954833984,21.68425750732422,15.301506042480469,9.204000473022461,29.519329071044922,39.990196228027344,41.17571258544922,42.51250076293945,0.5345500707626343,19.613943099975586,33.44160461425781,13.357194900512695,58.94588088989258,135.4600067138672,97.8433609008789
2011-01-13,10.348075866699219,21.41084098815918,15.297041893005371,9.27649974822998,29.347671508789062,40.252525329589844,41.498931884765625,42.584678649902344,0.53546541929245,19.72595977783203,33.5184326171875,13.342581748962402,59.4735107421875,134.0500030517578,97.68353271484375
2011-01-14,10.43189811706543,21.4943790435791,15.482830047607422,9.4375,29.6513729095459,40.022186279296875,41.53062057495117,43.21197509765625,0.5400445461273193,19.641948699951172,33.544063568115234,13.34744930267334,59.0938606262207,132.69000244140625,98.39122772216797
